# steam_cost,electricity_cost,LCOW,SEC
4.210526e-04,3.947368e-01,2.225178e+00,3.381388e+00
4.210526e-04,4.210526e-01,2.282137e+00,3.381388e+00
4.210526e-04,4.473684e-01,2.339096e+00,3.381388e+00
4.210526e-04,4.736842e-01,2.396055e+00,3.381388e+00
4.210526e-04,5.000000e-01,2.453015e+00,3.381388e+00
8.421053e-04,0.000000e+00,1.482630e+00,3.381388e+00
8.421053e-04,2.631579e-02,1.539589e+00,3.381388e+00
8.421053e-04,5.263158e-02,1.596549e+00,3.381388e+00
8.421053e-04,7.894737e-02,1.653508e+00,3.381388e+00
8.421053e-04,1.052632e-01,1.710467e+00,3.381388e+00
8.421053e-04,1.315789e-01,1.767426e+00,3.381388e+00
8.421053e-04,1.578947e-01,1.824385e+00,3.381388e+00
8.421053e-04,1.842105e-01,1.881344e+00,3.381388e+00
8.421053e-04,2.105263e-01,1.938304e+00,3.381388e+00
8.421053e-04,2.368421e-01,1.995263e+00,3.381388e+00
8.421053e-04,2.631579e-01,2.052222e+00,3.381388e+00
8.421053e-04,2.894737e-01,2.109181e+00,3.381388e+00
8.421053e-04,3.157895e-01,2.166140e+00,3.381388e+00
8.421053e-04,3.421053e-01,2.223099e+00,3.381388e+00
8.421053e-04,3.684211e-01,2.280059e+00,3.381388e+00
8.421053e-04,3.947368e-01,2.337018e+00,3.381388e+00
8.421053e-04,4.210526e-01,2.393977e+00,3.381388e+00
8.421053e-04,4.473684e-01,2.450936e+00,3.381388e+00
8.421053e-04,4.736842e-01,2.507895e+00,3.381388e+00
8.421053e-04,5.000000e-01,2.564855e+00,3.381388e+00
1.263158e-03,0.000000e+00,1.594470e+00,3.381388e+00
1.263158e-03,2.631579e-02,1.651429e+00,3.381388e+00
1.263158e-03,5.263158e-02,1.708389e+00,3.381388e+00
1.263158e-03,7.894737e-02,1.765348e+00,3.381388e+00
1.263158e-03,1.052632e-01,1.822307e+00,3.381388e+00
1.263158e-03,1.315789e-01,1.879266e+00,3.381388e+00
1.263158e-03,1.578947e-01,1.936225e+00,3.381388e+00
1.263158e-03,1.842105e-01,1.993184e+00,3.381388e+00
1.263158e-03,2.105263e-01,2.050144e+00,3.381388e+00
1.263158e-03,2.368421e-01,2.107103e+00,3.381388e+00
1.263158e-03,2.631579e-01,2.164062e+00,3.381388e+00
1.263158e-03,2.894737e-01,2.221021e+00,3.381388e+00
1.263158e-03,3.157895e-01,2.277980e+00,3.381388e+00
1.263158e-03,3.421053e-01,2.334939e+00,3.381388e+00
1.263158e-03,3.684211e-01,2.391899e+00,3.381388e+00
1.263158e-03,3.947368e-01,2.448858e+00,3.381388e+00
1.263158e-03,4.210526e-01,2.505817e+00,3.381388e+00
1.263158e-03,4.473684e-01,2.562776e+00,3.381388e+00
1.263158e-03,4.736842e-01,2.619735e+00,3.381388e+00
1.263158e-03,5.000000e-01,2.676694e+00,3.381388e+00
1.684211e-03,0.000000e+00,1.706310e+00,3.381388e+00
1.684211e-03,2.631579e-02,1.763269e+00,3.381388e+00
1.684211e-03,5.263158e-02,1.820228e+00,3.381388e+00
1.684211e-03,7.894737e-02,1.877188e+00,3.381388e+00
1.684211e-03,1.052632e-01,1.934147e+00,3.381388e+00
1.684211e-03,1.315789e-01,1.991106e+00,3.381388e+00
1.684211e-03,1.578947e-01,2.048065e+00,3.381388e+00
1.684211e-03,1.842105e-01,2.105024e+00,3.381388e+00
1.684211e-03,2.105263e-01,2.161983e+00,3.381388e+00
1.684211e-03,2.368421e-01,2.218943e+00,3.381388e+00
1.684211e-03,2.631579e-01,2.275902e+00,3.381388e+00
1.684211e-03,2.894737e-01,2.332861e+00,3.381388e+00
1.684211e-03,3.157895e-01,2.389820e+00,3.381388e+00
1.684211e-03,3.421053e-01,2.446779e+00,3.381388e+00
1.684211e-03,3.684211e-01,2.503739e+00,3.381388e+00
1.684211e-03,3.947368e-01,2.560698e+00,3.381388e+00
1.684211e-03,4.210526e-01,2.617657e+00,3.381388e+00
1.684211e-03,4.473684e-01,2.674616e+00,3.381388e+00
1.684211e-03,4.736842e-01,2.731575e+00,3.381388e+00
1.684211e-03,5.000000e-01,2.788534e+00,3.381388e+00
2.105263e-03,0.000000e+00,1.818150e+00,3.381388e+00
2.105263e-03,2.631579e-02,1.875109e+00,3.381388e+00
2.105263e-03,5.263158e-02,1.932068e+00,3.381388e+00
2.105263e-03,7.894737e-02,1.989028e+00,3.381388e+00
2.105263e-03,1.052632e-01,2.045987e+00,3.381388e+00
2.105263e-03,1.315789e-01,2.102946e+00,3.381388e+00
2.105263e-03,1.578947e-01,2.159905e+00,3.381388e+00
2.105263e-03,1.842105e-01,2.216864e+00,3.381388e+00
2.105263e-03,2.105263e-01,2.273823e+00,3.381388e+00
2.105263e-03,2.368421e-01,2.330783e+00,3.381388e+00
2.105263e-03,2.631579e-01,2.387742e+00,3.381388e+00
2.105263e-03,2.894737e-01,2.444701e+00,3.381388e+00
2.105263e-03,3.157895e-01,2.501660e+00,3.381388e+00
2.105263e-03,3.421053e-01,2.558619e+00,3.381388e+00
2.105263e-03,3.684211e-01,2.615578e+00,3.381388e+00
2.105263e-03,3.947368e-01,2.672538e+00,3.381388e+00
2.105263e-03,4.210526e-01,2.729497e+00,3.381388e+00
2.105263e-03,4.473684e-01,2.786456e+00,3.381388e+00
2.105263e-03,4.736842e-01,2.843415e+00,3.381388e+00
2.105263e-03,5.000000e-01,2.900374e+00,3.381388e+00
