,S_su, S_aa, S_fa, S_va, S_bu, S_pro, S_ac, S_h2, S_ch4, S_IC, S_IN, S_I, X_c, X_ch, X_pr, X_li, X_su, X_aa, X_fa, X_c4, X_pro, X_ac, X_h2, X_I, S_cat, S_an, H2O,Volumetric Flowrate,bge2_ S_h2,bge2_ S_ch4,bge2_ S_IC,bge2_Volumetric Flowrate,bgr2_ S_h2,bgr2_ S_ch4,bgr2_ S_IC,bgr2_ H2O,bgr2_Volumetric Flowrate,bge1_ S_h2,bge1_ S_ch4,bge1_ S_IC,bge1_Volumetric Flowrate
0,1.654986183479707,1.439229427836165,26.43503380049121,2.717476555221268,3.465787885168865,4.486764093792126,17.805527591852613,1.9137818467863162e-05,44.03975598783351,547.4214211626469,195.82731142205546,66.60300947097072,56.35089053641998,1.8557923642010354,2.7124020285348847,1.9270788809004105,437.44870732218607,108.49868078721434,12.160236731955584,87.76163030459962,33.61579989260585,76.82434023097736,88.57273378660682,107.52015832064755,40.0,20.0,990964.2006571966,6.058176478869018,0.00019323380283145622,222.74179689281453,495.5503736817905,1.0,0.0023350156179887424,2102.6279889317757,86.6785790418486,20.204650566813175,12.722913231877353,2.6464843154237596,8682.568372023166,3695.764197888081,1.0
0,4.510599384260362,2.9666213708850644,36.71857646977141,5.861149898932231,7.949593028269445,8.57948396337528,28.31371520609829,4.1249106411913756e-05,41.96018194451997,516.0398992444907,189.83693767270026,54.54444361254788,73.4294676436331,5.151497806596915,8.093724846712472,4.785019468734761,471.2073259131373,111.70396361492618,11.486786870449334,58.90977610805184,36.18495213996261,141.87845211325927,88.5893315141961,89.31740539822499,40.0,20.0,990964.2006567329,8.261978585171093,0.0005679987230544585,289.425186639001,637.076296051423,1.0,0.004510343508754734,2019.5570586329711,88.00496466131317,27.746379586579565,18.403862014859662,7.158335703161499,10226.373428953306,5057.720033878374,1.0
0,1.929473556661103,1.6120740199866275,27.480420571309566,3.072179431686464,3.9393398630083944,4.947408627193704,19.53073146866803,2.1485501311412794e-05,36.88821606264584,521.304053853667,194.6903818381837,64.30731002648001,59.09197724736379,2.176493215239871,3.2285765697267474,2.2126564686201915,444.3054487078511,109.35517195602375,12.147862396731545,85.81629547213261,34.16454181073436,85.97094756038429,89.3075273987286,103.99535445690294,40.0,20.0,990964.2006569516,9.43444549505378,0.00033783965176071754,290.548693675273,734.9056422026325,1.0,0.002611330297782143,1960.9540715770681,92.22043029903986,31.86081662808983,21.335223047014296,4.569998366781551,13256.506428784469,5741.262868647884,1.0
0,1.0596827371572355,1.0183507263446143,23.233047941889144,1.8219214038375993,2.3076203002047824,2.971052788796062,15.358306327859905,1.3760825093038975e-05,35.65181899170084,527.4607448554282,200.34697796561613,75.6420047457994,47.94575703639007,1.152785959732519,1.5973842276590662,1.2845806717101058,410.80439382785664,103.51742047249519,11.70786453889651,86.95849198832359,36.45106599073775,44.843385344969654,87.35228596864503,113.24996970036932,40.0,20.0,990964.2006534317,5.9578641308543725,0.0001366418770546295,177.3320285770955,469.5748606747416,1.0,-295.3005483106395,1954.6684197706802,93.35661310813627,31.749318761599852,,1.8526752766646668,8920.504308000896,3620.4936790650017,1.0
0,0.850260075281924,0.8527663858840252,21.591425242086473,1.4685996515906081,1.8603313775733745,2.1883363032085223,13.778814454677772,1.116617377598633e-05,41.159922392557235,549.5993064176351,203.33683586560437,81.55982134352512,43.487366571134686,0.9008088185226611,1.2076578748588378,1.0443641714829874,392.5327393686615,99.26704932535112,11.062560272908453,83.08062899206405,39.84232290215563,28.539227364497414,86.6098354064537,112.75910397108177,40.0,20.0,990964.2006377551,5.161501852249681,9.605704437882542e-05,177.364022254633,423.8833551138727,1.0,-325.0201370000215,2067.4324558904277,89.01666305981038,22.061940435100418,,1.3243952995650101,7915.138385829831,3145.264203773991,1.0
0,1.3883211600236476,1.2584363825651383,25.2142576772562,2.332515551671232,2.962140735602444,3.9711029908586473,17.13455390781666,1.666426950168128e-05,35.536039100558426,523.4183158180809,197.30178017972335,69.78344112164147,53.092039003287816,1.5430270447258376,2.2130134033362574,1.644554160634857,428.41551249039884,107.12327458979664,12.097867586171011,88.92413424755853,33.04361167069629,64.15900342197742,87.48512283927289,110.60774806233114,40.0,20.0,990964.2006592444,7.011931624564582,0.00019474786386517676,208.02790046484586,548.4167211528131,1.0,-144.84718647646108,1943.3868263617753,93.53158289594732,33.09081715069266,5.0256563538408905,2.703950739336919,10204.311103545275,4261.57165552496,1.0
0,0.6951682305438651,0.7217832330644992,20.128103819403805,1.1890566799258664,1.5081578419297745,1.6454921841819106,12.942066692439553,8.5791314980278e-06,40.15064194742394,557.1599607092561,206.6600722923903,88.03793753107593,39.139006118659964,0.7128129172454866,0.923850988646843,0.8581813044720901,372.140527596791,94.36736322544324,10.212236557139171,78.48414257705244,40.755220394117764,14.273086687193011,83.60103751333722,111.31290111340708,40.0,20.0,990964.2006153929,8.784622597182198,0.00012560738736962096,294.4628396824475,731.3531006228942,1.0,0.0011161449149029216,2050.606057512408,91.083494252983,22.88112359850985,19.00140765893621,1.8716219412250206,13704.770441570117,5354.374954704076,1.0
0,12.873270832101733,6.278567843475502,67.96946443562967,11.866737766040147,16.305223830630215,19.145892774307523,50.64321485756628,9.842567707658257e-05,54.24020966590275,517.3055044530096,183.85582511087202,43.26813544499349,90.40901648973396,13.680978801400412,22.211178008184646,11.991268898114242,478.11441525164366,110.20155340877652,11.131641353910275,71.33731505053375,44.46213250185008,201.09974906924793,96.29001622639686,70.68400636411687,40.0,20.0,990964.2006567747,8.246264068286527,0.0013527402071223263,373.4164896716312,637.4240381387351,1.0,0.008848213833975074,2140.738611857287,80.69949888501164,19.67396181490757,17.59847696350958,15.150025525725754,8021.423058616949,5027.963421000561,1.0
0,1.0710490819351273,1.0275353040090034,23.324288085374192,1.841130829208283,2.332026633128167,3.01847652853045,14.97242026773173,1.3341348164462938e-05,42.61797326473693,553.4780018487875,200.20042502323656,75.32322802320397,48.16605468417765,1.1670613883028051,1.6196890245665492,1.2979644461781226,411.64140720004144,103.71229200044844,11.73612601212341,87.12582260978927,36.174915562531794,46.308951407238084,87.09902914916611,113.44812296075419,39.99999999999876,19.99999999999938,990964.2006610015,7.338991114429793,0.0001631867260558462,261.1223519866687,606.961055043769,1.0,0.001684008895130427,2088.063883751238,88.2866471952947,20.755648348923934,15.509503579347328,2.3079739011256297,11007.862762658984,4473.553659243015,1.0
0,7.463563657941543,4.19801044911294,47.39723439378124,8.013641312985591,10.959206475651968,12.189308029497507,36.86759210881036,6.181795968612409e-05,43.695572563078336,506.92093443237104,187.09949336177374,49.24900045669894,81.70240396404759,8.244247704641813,13.197903671944504,7.4127155934512,476.51448255197096,110.75058299237568,11.114803906026665,63.183161555814955,38.85246662463871,173.2089706969902,91.32395874648434,81.17680230299649,40.0,20.0,990964.2006570259,8.534119084916066,0.0008792697159132058,311.3228715234684,646.4322652192666,1.0,0.006229533111292965,2013.0334543647912,87.13658534218656,28.978873197167406,19.23877747536107,10.334445378112461,9601.155533767398,5217.542522194008,1.0
