CaseStudy,Reference,Scenario,fci_class,tci_class,fixed_op_class,total_op_class,annual_op_class,elect_intens_class,catchem_class,other_class,wr_const_class,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
santa_barbara,nawi,baseline,4,4,,,,4,5,,4,uv_aop,treatment,uv_aop,co2_addition,outlet,"{'chemical_name': 'Hydrogen_Peroxide', 'dose': 5, 'uv_dose': 350, 'aop': True, 'uvt_in': 0.95}"
santa_barbara,nawi,baseline,,,,,,,5,,,co2_addition,treatment,co2_addition,lime_addition,outlet,
santa_barbara,nawi,baseline,,,,,,,5,,,lime_addition,treatment,lime_addition,treated_storage,outlet,{'lime': 2.3}
santa_barbara,nawi,baseline,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
santa_barbara,nawi,baseline,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,"landfill,landfill","outlet,waste",
santa_barbara,nawi,baseline,,,,,,,5,,,landfill,waste,landfill,,,
santa_barbara,nawi,baseline,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
,,,,,,,,,,,,,,,,,
BRACKISH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
emwd,nawi,baseline,3.5,3.5,,,,,5,,,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], 'pipe_distance': 70}"
emwd,nawi,baseline,,,,,,,5,,,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,baseline,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration_a,"menifee_a,menifee_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,baseline,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,menifee_a,decarbonator_a,outlet,{'erd': 'no'}
emwd,nawi,baseline,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,menifee_b,decarbonator_a,outlet,{'erd': 'no'}
emwd,nawi,baseline,,,,,,,5,,,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,baseline,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration_b,"perris_i_a,perris_i_b","outlet,outlet","{'split_fraction': [0.5, 0.5]}"
emwd,nawi,baseline,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,perris_i_a,decarbonator_b,outlet,{'erd': 'no'}
emwd,nawi,baseline,2.5,2.5,,,,2.5,5,,,reverse_osmosis,treatment,perris_i_b,decarbonator_b,outlet,{'erd': 'no'}
emwd,nawi,baseline,,,,,,,5,,,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,baseline,4,4,,,,,5,,,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,baseline,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 3}
emwd,nawi,baseline,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
emwd,nawi,baseline,,,,,,,5,,,surface_discharge,waste,surface_discharge,,,"{'pipe_distance': 70,  'pipe_cost_case': 'emwd'}"
,,,,,,,,,,,,,,,,,
DWI: RO > DWI,,,,,,,,,,,,,,,,,
emwd,nawi,dwi,3.5,3.5,,,,,5,,,well_field,intake,well_field,iron_and_manganese_removal,outlet,{'water_type': ['emwd_ca_brackish']}
