compound,c0,c0_std,c_norm,bv,cb,tb,bed_depth,bed_diam,bed_vol,resin_dens,vel_bed,ref,conc_units,flow_in,ebct,resin,notes
pfpea,58.7,4.5,0.861538462,96844.99314,50.57230772,15447957.44,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.946153846,104252.4005,55.53923076,16629529.25,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.976923077,111385.4595,57.34538462,17767339.15,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.996153846,165432.0988,58.47423076,26388437.22,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.5,49657.06447,29.35,7920907.357,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.261538462,6584.36214,113.089231,1050286.058,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.55,9602.194787,237.82,1531667.168,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.857692308,13168.72428,370.866154,2100572.117,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.880769231,16735.25377,380.8446155,2669477.065,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.940384615,24417.0096,406.6223075,3894810.8,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.998076923,27983.53909,431.5684615,4463715.748,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.998076923,53497.94239,431.5684615,8533574.225,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpra,432.4,63.3,0.5,8779.14952,216.2,1400381.411,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,11.4,,0.000467175,0.00E+00,0.005325794,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.000783854,3820.224719,0.008935936,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.001407041,4887.640449,0.016040272,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.004237739,6516.853933,0.048310228,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.008138078,7752.808989,0.092774091,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.030695103,9943.820225,0.34992417,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.064497764,12191.01124,0.735274512,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
pfoa,11.4,,0.094551503,13820.22472,1.077887139,#DIV/0!,0.9,0.22,0.0339802,,,woodward_2017,ug/L,0.000227125,2.5,ect_sorbix_a3f,bed diameter and depth estimated from picture and similar products and bed volume
