,c0_mass,WR,Volt,c_prod_mass,Sol_Cond
404,15,0.9,10,12.983222270092757,optimal
405,15,0.9,12,12.517327191990624,optimal
406,15,0.9,14,12.04333991966034,optimal
407,15,0.9,16,11.565838427378104,optimal
408,15,0.9,18,11.088841749198895,optimal
409,15,0.9,20,10.615838043315987,optimal
410,15,0.9,22,10.149828557311398,optimal
411,15,0.9,24,9.693375797289203,optimal
412,15,0.9,26,9.248649858623413,optimal
413,15,0.9,28,8.817470212175511,optimal
414,15,0.9,30,8.401342023408889,optimal
415,15,0.9,32,8.001487230816863,optimal
416,15,0.9,34,7.618871105180325,optimal
417,15,0.9,36,7.254224934524044,optimal
418,15,0.9,38,6.908066167800314,optimal
419,15,0.9,40,6.580716313073745,optimal
420,15,0.9,42,6.272317744637324,optimal
421,15,0.9,44,,infeasible
422,15,0.9,46,5.712144667577461,optimal
423,15,0.9,48,5.459902993127023,optimal
424,15,0.9,50,,infeasible
425,15,0.9,52,5.009051416364362,optimal
426,15,0.9,54,4.809328768546083,optimal
427,15,0.9,56,4.625875185587027,optimal
428,15,0.9,58,,infeasible
429,15,0.9,60,,infeasible
430,15,0.9,62,,infeasible
431,15,0.9,64,,infeasible
432,15,0.9,66,,infeasible
433,15,0.9,68,,infeasible
434,15,0.9,70,,infeasible
435,15,0.9,72,,infeasible
436,15,0.9,74,,infeasible
437,15,0.9,76,,infeasible
438,15,0.9,78,,infeasible
439,15,0.9,80,,infeasible
440,15,0.9,82,,infeasible
441,15,0.9,84,,infeasible
442,15,0.9,86,,infeasible
443,15,0.9,88,,infeasible
444,15,0.9,90,,infeasible
445,15,0.9,92,,infeasible
446,15,0.9,94,,infeasible
447,15,0.9,96,,infeasible
448,15,0.9,98,,infeasible
449,15,0.9,100,,infeasible
