,c0_mass,WR,Volt,c_prod_mass,Sol_Cond,
327,15,0.5,56,1.265378247,optimal,
328,15,0.5,58,1.226316738,optimal,
329,15,0.5,60,1.193475693,optimal,
330,15,0.5,62,1.165870869,optimal,
331,15,0.5,64,1.142672239,optimal,
332,15,0.5,66,1.123180443,optimal,
333,15,0.5,68,1.106806643,optimal,
334,15,0.5,70,1.09305534,optimal,
335,15,0.5,72,1.081509771,optimal,
336,15,0.5,74,1.071819488,optimal,
337,15,0.5,76,1.063689845,optimal,
338,15,0.5,78,1.056873078,optimal,
339,15,0.5,80,1.051160788,optimal,
340,15,0.5,82,1.046377597,optimal,
341,15,0.5,84,1.042375827,optimal,
342,15,0.5,86,1.039031042,optimal,
343,15,0.5,88,1.03623832,optimal,
344,15,0.5,90,1.03390915,optimal,
345,15,0.5,92,1.031968843,optimal,
346,15,0.5,94,1.030354376,optimal,
347,15,0.5,96,1.029012591,optimal,
348,15,0.5,98,1.027898688,optimal,
349,15,0.5,100,1.026974952,optimal,
350,15,0.7,2,14.2895598,optimal,
351,15,0.7,4,13.5635043,optimal,
352,15,0.7,6,12.82873299,optimal,
353,15,0.7,8,12.09186647,optimal,
354,15,0.7,10,11.35913968,optimal,
355,15,0.7,12,10.63633303,optimal,
356,15,0.7,14,9.928728846,optimal,
357,15,0.7,16,9.241083046,optimal,
358,15,0.7,18,8.577604191,optimal,
359,15,0.7,20,7.941935742,optimal,
360,15,0.7,22,7.337139794,optimal,
361,15,0.7,24,6.765682503,optimal,
362,15,0.7,26,6.229423653,optimal,
363,15,0.7,28,5.729613538,optimal,
364,15,0.7,30,5.266900464,optimal,
365,15,0.7,32,4.841352296,optimal,
366,15,0.7,34,4.452493625,optimal,
367,15,0.7,36,4.099359181,optimal,
368,15,0.7,38,3.780561299,optimal,
369,15,0.7,40,3.494368108,optimal,
370,15,0.7,42,3.23878749,optimal,
371,15,0.7,44,3.011651429,optimal,
372,15,0.7,46,2.810695663,optimal,
373,15,0.7,48,2.63363051,optimal,
374,15,0.7,50,2.478200127,optimal,
375,15,0.7,52,2.342228951,optimal,
376,15,0.7,54,2.223655435,optimal,
377,15,0.7,56,2.120554136,optimal,
378,15,0.7,58,2.031148039,optimal,
