,Feed_S_IP,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,c_cost,o_cost,lcow,e_cost
10,3.556885905854151,2.182862913291381e-09,3.835740775969825e-07,5.234601383373692e-10,1.9675779668009195e-14,0.0009627533855120154,1.9675779668009195e-14,1.9675779668009195e-14,0.06256114006322366,1.9675779668009195e-14,1.9675779668009195e-14,2.5715279353619315e-07,1.9675779668009195e-14,1.4322576850538853e-07,2.2489895981807974e-09,2.7505606622941057e-09,2185688.2807005956,125972.21567981552,6.1653723387575905,0.044
11,3.536082323962469,2.182696418680607e-09,3.8354482105670057e-07,5.234202121965852e-10,1.967427892728125e-14,0.0009627100698335159,1.967427892728125e-14,1.967427892728125e-14,0.06252104994635446,1.967427892728125e-14,1.967427892728125e-14,2.5713317959066844e-07,1.967427892728125e-14,1.4321484417366118e-07,2.2488180598558275e-09,2.750350867384819e-09,2185688.280817666,125933.58217423054,6.164681013648942,0.044
12,3.4827003086179986,2.1820588472296123e-09,3.834327865905285e-07,5.232673197552388e-10,1.9668532017882586e-14,0.0009624580108147558,1.9668532017882586e-14,1.9668532017882586e-14,0.062418160896268296,1.9668532017882586e-14,1.9668532017882586e-14,2.57058070302447e-07,1.9668532017882586e-14,1.4317301073534042e-07,2.248161174096922e-09,2.7495474825539026e-09,2185688.2810336333,125834.4313444975,6.1629067645110265,0.044
13,3.387004927804003,2.1828615205679296e-09,3.8357383286672023e-07,5.234598043561529e-10,1.967576711434877e-14,0.0009627534642349231,1.967576711434877e-14,1.967576711434877e-14,0.06223356902054967,1.967576711434877e-14,1.967576711434877e-14,2.5715262946600624e-07,1.967576711434877e-14,1.4322567712361396e-07,2.248988163266797e-09,2.750558907364689e-09,2185688.2807007777,125656.54618231556,6.159723606848087,0.044
14,3.4661267233452104,2.1841430306359562e-09,3.83799020641583e-07,5.237671161132978e-10,1.9687318325186286e-14,0.0009632689981809396,1.9687318325186286e-14,1.9687318325186286e-14,0.0623860354575186,1.9687318325186286e-14,1.9687318325186286e-14,2.57303598128276e-07,1.9687318325186286e-14,1.433097617737415e-07,2.2503084948347606e-09,2.752173700103154e-09,2185688.280218674,125803.47308331911,6.162352782008679,0.044
15,3.4443161353711673,2.18284585992602e-09,3.8357108096863335e-07,5.234560488652651e-10,1.9675625953244334e-14,0.000962739909310503,1.9675625953244334e-14,1.9675625953244334e-14,0.06234410031820668,1.9675625953244334e-14,1.9675625953244334e-14,2.571507845595804e-07,1.9675625953244334e-14,1.4322464957055092e-07,2.248972028208319e-09,2.750539173855397e-09,2185688.2808370916,125763.06158532116,6.16162964160156,0.044
16,3.4557128780068953,2.1829366327778524e-09,3.8358703163264455e-07,5.234778165948316e-10,1.967644415699942e-14,0.0009627691909728924,1.967644415699942e-14,1.967644415699942e-14,0.062366040620224036,1.967644415699942e-14,1.967644415699942e-14,2.5716147808150693e-07,1.967644415699942e-14,1.4323060551555504e-07,2.2490655508928288e-09,2.750653554027388e-09,2185688.280640285,125784.20473480911,6.162007986272052,0.044
17,3.5768007250018843,2.1828625285083803e-09,3.835740099826656e-07,5.234600460647113e-10,1.9675776199671583e-14,0.0009627533933905504,1.9675776199671583e-14,1.9675776199671583e-14,0.06259954066948376,1.9675776199671583e-14,1.9675776199671583e-14,2.5715274820672105e-07,1.9675776199671583e-14,1.4322574325834223e-07,2.2489892017413503e-09,2.7505601774404853e-09,2185688.280700626,126009.22109296739,6.166034530257814,0.044
18,3.4469562108348564,2.182861655801605e-09,3.8357385663006884e-07,5.234598367857838e-10,1.9675768333311257e-14,0.0009627534629987538,1.9675768333311257e-14,1.9675768333311257e-14,0.06234916951548772,1.9675768333311257e-14,1.9675768333311257e-14,2.5715264539724835e-07,1.9675768333311257e-14,1.4322568599679926e-07,2.2489883025971817e-09,2.7505590777686233e-09,2185688.280700798,125767.94661167756,6.161717056215545,0.044
19,3.5275081474454404,2.1841702027735684e-09,3.838037953471119e-07,5.237736321115435e-10,1.968756324803028e-14,0.0009632809121771773,1.968756324803028e-14,1.968756324803028e-14,0.0625043913735345,1.968756324803028e-14,1.968756324803028e-14,2.5730679914976517e-07,1.968756324803028e-14,1.433115446389264e-07,2.2503364901131072e-09,2.752207938905954e-09,2185688.280209733,125917.528807792,6.164393746404609,0.044
