,Feed,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,c_cost,o_cost,lcow,e_cost,byS_PO4,Temp
31,0.979142638,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732106,1.00E-06,1.00E-06,0.551568237,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,9982.852304,4.089806537,0.044,2702656.901,300.15
32,1.11321856,0.110941622,19.49473333,0.026604289,1.00E-06,1.141761379,1.00E-06,1.00E-06,0.618073153,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.288,3266.720072,3.969625047,0.044,3028436.263,300.15
33,1.03027206,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732411,1.00E-06,1.00E-06,0.5769302,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,7421.623038,4.04397475,0.044,2825359.33,300.15
34,1.073087674,0.110941622,19.49473333,0.026604289,1.00E-06,1.14173209,1.00E-06,1.00E-06,0.598168059,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,5276.874585,4.005595656,0.044,2930993.782,300.15
35,1.08519764,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732051,1.00E-06,1.00E-06,0.604174946,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,4670.256956,3.994740568,0.044,2959335.401,300.15
36,0.987003867,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732433,1.00E-06,1.00E-06,0.555467705,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,9589.05686,4.082759785,0.044,2719135.533,300.15
37,1.023611043,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732057,1.00E-06,1.00E-06,0.573626127,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,7755.291428,4.049945562,0.044,2810740.516,300.15
38,1.106962676,0.110941622,19.49473333,0.026604289,1.00E-06,1.141700844,1.00E-06,1.00E-06,0.614972089,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,3579.88345,3.975228935,0.044,3013432.937,300.15
39,0.919869505,0.110941622,19.49473333,0.026604289,1.00E-06,1.14155906,1.00E-06,1.00E-06,0.522173329,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.29,12951.35401,4.142926243,0.044,2559053.943,300.15
40,0.886623531,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732272,1.00E-06,1.00E-06,0.505674762,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,14617.49817,4.172740974,0.044,2477794.133,300.15
41,1.142142089,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732044,1.00E-06,1.00E-06,0.632420912,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,1817.780906,3.943697079,0.044,3096006.144,300.15
42,1.042491419,0.110941622,19.49473333,0.026604289,1.00E-06,1.141685645,1.00E-06,1.00E-06,0.582992391,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,6809.418716,4.033019691,0.044,2856770.499,300.15
43,1.055021512,0.110941622,19.49473333,0.026604289,1.00E-06,1.141733065,1.00E-06,1.00E-06,0.589206846,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,6181.852851,4.021789738,0.044,2884183.1,304.15
44,0.949924029,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732472,1.00E-06,1.00E-06,0.537074804,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,11446.51171,4.11599791,0.044,2631643.927,304.15
45,1.081619634,0.110941622,19.49473333,0.026604289,1.00E-06,1.141714214,1.00E-06,1.00E-06,0.602400797,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,4849.433907,3.997946835,0.044,2951792.847,304.15
46,1.145098993,0.110941622,19.49473333,0.026604289,1.00E-06,1.14175448,1.00E-06,1.00E-06,0.633876207,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.284,1670.830633,3.941067476,0.044,3105186.671,304.15
47,1.076380261,0.110941622,19.49473333,0.026604289,1.00E-06,1.14169698,1.00E-06,1.00E-06,0.599801504,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,5111.929497,4.002644048,0.044,2939354.125,304.15
48,1.076916506,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732321,1.00E-06,1.00E-06,0.600067414,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,5085.076231,4.002163524,0.044,2940301.044,304.15
49,1.028775382,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732446,1.00E-06,1.00E-06,0.576187941,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.285,7496.592763,4.045316285,0.044,2824138.148,304.15
