case_study,scenario,value,reference,variable
gila_river,baseline,0.08,nawi,debt_interest_rate
gila_river,baseline,0.1,nawi,exp_return_on_equity
gila_river,baseline,3.4,nawi,default_tpec_multiplier
gila_river,baseline,1.65,nawi,default_tic_multiplier
gila_river,baseline,0.0005,nawi,base_salary_per_fci
heap_leaching,baseline,2020,nawi,analysis_year
heap_leaching,baseline,arizona,nawi,location_basis
heap_leaching,baseline,30,nawi,plant_life_yrs
heap_leaching,baseline,0.0015,nawi,land_cost_percent
heap_leaching,baseline,0.05,nawi,working_capital_percent
heap_leaching,baseline,0.001,nawi,salaries_percent
heap_leaching,baseline,0.9,nawi,employee_benefits_percent
heap_leaching,baseline,0.008,nawi,maintenance_cost_percent
heap_leaching,baseline,0.003,nawi,laboratory_fees_percent
heap_leaching,baseline,0.002,nawi,insurance_and_taxes_percent
heap_leaching,baseline,0.7,nawi,default_cap_scaling_exp
heap_leaching,baseline,0.7,nawi,default_opex_scaling_exp
heap_leaching,baseline,0.4,nawi,cap_by_equity
heap_leaching,baseline,0.08,nawi,debt_interest_rate
heap_leaching,baseline,0.1,nawi,exp_return_on_equity
heap_leaching,baseline,3.4,nawi,default_tpec_multiplier
heap_leaching,baseline,1.65,nawi,default_tic_multiplier
heap_leaching,baseline,0.0005,nawi,base_salary_per_fci
heap_leaching,baseline,1,nawi,plant_cap_utilization
hrsd,baseline,2020,nawi,analysis_year
hrsd,baseline,virginia,nawi,location_basis
hrsd,baseline,30,nawi,plant_life_yrs
hrsd,baseline,0.0015,nawi,land_cost_percent
hrsd,baseline,0.05,nawi,working_capital_percent
hrsd,baseline,0.001,nawi,salaries_percent
hrsd,baseline,0.9,nawi,employee_benefits_percent
hrsd,baseline,0.008,nawi,maintenance_cost_percent
hrsd,baseline,0.003,nawi,laboratory_fees_percent
hrsd,baseline,0.002,nawi,insurance_and_taxes_percent
hrsd,baseline,0.7,nawi,default_cap_scaling_exp
hrsd,baseline,0.7,nawi,default_opex_scaling_exp
hrsd,baseline,0,nawi,cap_by_equity
hrsd,baseline,0.05,nawi,debt_interest_rate
hrsd,baseline,0.1,nawi,exp_return_on_equity
hrsd,baseline,3.4,nawi,default_tpec_multiplier
hrsd,baseline,1.65,nawi,default_tic_multiplier
hrsd,baseline,0.0005,nawi,base_salary_per_fci
hrsd,baseline,1,nawi,plant_cap_utilization
iatan,baseline,2020,nawi,analysis_year
iatan,baseline,missouri,nawi,location_basis
iatan,baseline,30,nawi,plant_life_yrs
iatan,baseline,0.0015,nawi,land_cost_percent
iatan,baseline,0.05,nawi,working_capital_percent
iatan,baseline,0.001,nawi,salaries_percent
iatan,baseline,0.9,nawi,employee_benefits_percent
iatan,baseline,0.008,nawi,maintenance_cost_percent
iatan,baseline,0.003,nawi,laboratory_fees_percent
iatan,baseline,0.002,nawi,insurance_and_taxes_percent
iatan,baseline,0.7,nawi,default_cap_scaling_exp
iatan,baseline,0.7,nawi,default_opex_scaling_exp
iatan,baseline,0.4,nawi,cap_by_equity
iatan,baseline,0.08,nawi,debt_interest_rate
iatan,baseline,0.1,nawi,exp_return_on_equity
iatan,baseline,3.4,nawi,default_tpec_multiplier
iatan,baseline,1.65,nawi,default_tic_multiplier
iatan,baseline,0.0005,nawi,base_salary_per_fci
iatan,baseline,1,nawi,plant_cap_utilization
iron_and_steel_a,baseline,2020,nawi,analysis_year
iron_and_steel_a,baseline,ohio,nawi,location_basis
iron_and_steel_a,baseline,30,nawi,plant_life_yrs
iron_and_steel_a,baseline,0.0015,nawi,land_cost_percent
iron_and_steel_a,baseline,0.05,nawi,working_capital_percent
iron_and_steel_a,baseline,0.001,nawi,salaries_percent
iron_and_steel_a,baseline,0.9,nawi,employee_benefits_percent
iron_and_steel_a,baseline,0.008,nawi,maintenance_cost_percent
iron_and_steel_a,baseline,0.003,nawi,laboratory_fees_percent
iron_and_steel_a,baseline,0.002,nawi,insurance_and_taxes_percent
iron_and_steel_a,baseline,0.7,nawi,default_cap_scaling_exp
iron_and_steel_a,baseline,0.7,nawi,default_opex_scaling_exp
iron_and_steel_a,baseline,0.4,nawi,cap_by_equity
iron_and_steel_a,baseline,0.08,nawi,debt_interest_rate
iron_and_steel_a,baseline,0.1,nawi,exp_return_on_equity
iron_and_steel_a,baseline,3.4,nawi,default_tpec_multiplier
iron_and_steel_a,baseline,1.65,nawi,default_tic_multiplier
iron_and_steel_a,baseline,0.0005,nawi,base_salary_per_fci
iron_and_steel_a,baseline,1,nawi,plant_cap_utilization
iron_and_steel_b,baseline,2020,nawi,analysis_year
iron_and_steel_b,baseline,ohio,nawi,location_basis
iron_and_steel_b,baseline,30,nawi,plant_life_yrs
iron_and_steel_b,baseline,0.0015,nawi,land_cost_percent
iron_and_steel_b,baseline,0.05,nawi,working_capital_percent
iron_and_steel_b,baseline,0.001,nawi,salaries_percent
iron_and_steel_b,baseline,0.9,nawi,employee_benefits_percent
iron_and_steel_b,baseline,0.008,nawi,maintenance_cost_percent
iron_and_steel_b,baseline,0.003,nawi,laboratory_fees_percent
iron_and_steel_b,baseline,0.002,nawi,insurance_and_taxes_percent
iron_and_steel_b,baseline,0.7,nawi,default_cap_scaling_exp
iron_and_steel_b,baseline,0.7,nawi,default_opex_scaling_exp
iron_and_steel_b,baseline,0.4,nawi,cap_by_equity
iron_and_steel_b,baseline,0.08,nawi,debt_interest_rate
iron_and_steel_b,baseline,0.1,nawi,exp_return_on_equity
iron_and_steel_b,baseline,3.4,nawi,default_tpec_multiplier
iron_and_steel_b,baseline,1.65,nawi,default_tic_multiplier
iron_and_steel_b,baseline,0.0005,nawi,base_salary_per_fci
iron_and_steel_b,baseline,1,nawi,plant_cap_utilization
irwin,baseline,2020,nawi,analysis_year
irwin,baseline,california,nawi,location_basis
irwin,baseline,30,nawi,plant_life_yrs
irwin,baseline,0.0015,nawi,land_cost_percent
irwin,baseline,0.05,nawi,working_capital_percent
irwin,baseline,0.001,nawi,salaries_percent
irwin,baseline,0.9,nawi,employee_benefits_percent
irwin,baseline,0.008,nawi,maintenance_cost_percent
irwin,baseline,0.003,nawi,laboratory_fees_percent
irwin,baseline,0.002,nawi,insurance_and_taxes_percent
irwin,baseline,0.7,nawi,default_cap_scaling_exp
irwin,baseline,0.7,nawi,default_opex_scaling_exp
irwin,baseline,0,nawi,cap_by_equity
irwin,baseline,0.05,nawi,debt_interest_rate
irwin,baseline,0.1,nawi,exp_return_on_equity
irwin,baseline,3.4,nawi,default_tpec_multiplier
irwin,baseline,1.65,nawi,default_tic_multiplier
irwin,baseline,0.0005,nawi,base_salary_per_fci
irwin,baseline,1,nawi,plant_cap_utilization
kbhdp,baseline,2020,nawi,analysis_year
kbhdp,baseline,texas,nawi,location_basis
kbhdp,baseline,30,nawi,plant_life_yrs
kbhdp,baseline,0.0015,nawi,land_cost_percent
kbhdp,baseline,0.05,nawi,working_capital_percent
kbhdp,baseline,0.001,nawi,salaries_percent
kbhdp,baseline,0.9,nawi,employee_benefits_percent
kbhdp,baseline,0.008,nawi,maintenance_cost_percent
kbhdp,baseline,0.003,nawi,laboratory_fees_percent
kbhdp,baseline,0.002,nawi,insurance_and_taxes_percent
kbhdp,baseline,0.7,nawi,default_cap_scaling_exp
kbhdp,baseline,0.7,nawi,default_opex_scaling_exp
kbhdp,baseline,0,nawi,cap_by_equity
kbhdp,baseline,0.05,nawi,debt_interest_rate
kbhdp,baseline,0.1,nawi,exp_return_on_equity
kbhdp,baseline,3.4,nawi,default_tpec_multiplier
kbhdp,baseline,1.65,nawi,default_tic_multiplier
kbhdp,baseline,0.0005,nawi,base_salary_per_fci
kbhdp,baseline,1,nawi,plant_cap_utilization
kern_county,baseline,2020,nawi,analysis_year
kern_county,baseline,california,nawi,location_basis
kern_county,baseline,30,nawi,plant_life_yrs
kern_county,baseline,0.0015,nawi,land_cost_percent
kern_county,baseline,0.05,nawi,working_capital_percent
kern_county,baseline,0.001,nawi,salaries_percent
kern_county,baseline,0.9,nawi,employee_benefits_percent
kern_county,baseline,0.008,nawi,maintenance_cost_percent
kern_county,baseline,0.003,nawi,laboratory_fees_percent
kern_county,baseline,0.002,nawi,insurance_and_taxes_percent
kern_county,baseline,0.7,nawi,default_cap_scaling_exp
kern_county,baseline,0.7,nawi,default_opex_scaling_exp
kern_county,baseline,0.4,nawi,cap_by_equity
kern_county,baseline,0.04,nawi,debt_interest_rate
kern_county,baseline,0.1,nawi,exp_return_on_equity
kern_county,baseline,3.4,nawi,default_tpec_multiplier
kern_county,baseline,1.65,nawi,default_tic_multiplier
kern_county,baseline,0.0005,nawi,base_salary_per_fci
kern_county,baseline,1,nawi,plant_cap_utilization
lithium,baseline,2020,nawi,analysis_year
lithium,baseline,north carolina,nawi,location_basis
lithium,baseline,30,nawi,plant_life_yrs
lithium,baseline,0.0015,nawi,land_cost_percent
lithium,baseline,0.05,nawi,working_capital_percent
lithium,baseline,0.001,nawi,salaries_percent
lithium,baseline,0.9,nawi,employee_benefits_percent
lithium,baseline,0.008,nawi,maintenance_cost_percent
lithium,baseline,0.003,nawi,laboratory_fees_percent
lithium,baseline,0.002,nawi,insurance_and_taxes_percent
lithium,baseline,0.7,nawi,default_cap_scaling_exp
lithium,baseline,0.7,nawi,default_opex_scaling_exp
lithium,baseline,0.4,nawi,cap_by_equity
lithium,baseline,0.08,nawi,debt_interest_rate
lithium,baseline,0.1,nawi,exp_return_on_equity
lithium,baseline,3.4,nawi,default_tpec_multiplier
lithium,baseline,1.65,nawi,default_tic_multiplier
lithium,baseline,0.0005,nawi,base_salary_per_fci
lithium,baseline,1,nawi,plant_cap_utilization
monterey_one,baseline,2020,nawi,analysis_year
monterey_one,baseline,california,nawi,location_basis
monterey_one,baseline,30,nawi,plant_life_yrs
monterey_one,baseline,0.0015,nawi,land_cost_percent
monterey_one,baseline,0.05,nawi,working_capital_percent
monterey_one,baseline,0.001,nawi,salaries_percent
monterey_one,baseline,0.9,nawi,employee_benefits_percent
monterey_one,baseline,0.008,nawi,maintenance_cost_percent
monterey_one,baseline,0.003,nawi,laboratory_fees_percent
monterey_one,baseline,0.002,nawi,insurance_and_taxes_percent
monterey_one,baseline,0.7,nawi,default_cap_scaling_exp
monterey_one,baseline,0.7,nawi,default_opex_scaling_exp
monterey_one,baseline,0,nawi,cap_by_equity
monterey_one,baseline,0.05,nawi,debt_interest_rate
monterey_one,baseline,0.1,nawi,exp_return_on_equity
monterey_one,baseline,3.4,nawi,default_tpec_multiplier
monterey_one,baseline,1.65,nawi,default_tic_multiplier
monterey_one,baseline,0.0005,nawi,base_salary_per_fci
monterey_one,baseline,0.78,nawi,plant_cap_utilization
ocwd,baseline,2020,nawi,analysis_year
ocwd,baseline,california,nawi,location_basis
ocwd,baseline,35,nawi,plant_life_yrs
ocwd,baseline,0.0015,nawi,land_cost_percent
ocwd,baseline,0.05,nawi,working_capital_percent
ocwd,baseline,0.001,nawi,salaries_percent
