,Feedt,S_It,S_St,X_It,X_St,X_BHt,X_BA,X_P
77,0.20486272741578065,0.030000000000000047,0.0009497629584545461,0.0036624826723286956,0.00018343978744447513,0.008872462724602303,0.0004541542168946997,0.0013057477112532793
78,0.22787542948839126,0.030000000000000034,0.0010061355703434446,0.0036624826723291163,0.00020958197777162774,0.009509507977746336,0.00044040884093684033,0.001397823885638888
79,0.24019624636999554,0.029999999999775467,0.0010443276172792094,0.003662482672275753,0.0002262609852919179,0.00984956114964009,0.0004319015214313991,0.0014468762833466078
80,0.18662472550684642,0.02999999999990601,0.000918123807196603,0.0036624826723096874,0.000166603646430757,0.008366047718753293,0.00046395867018736187,0.0012323928910389949
81,0.15313218248068977,0.030000000000000016,0.0008728843150369831,0.0036624826723291952,0.0001399934336667647,0.00743423440597802,0.0004815128527180208,0.0010972005982603093
82,0.1561266224405299,0.029999999999950892,0.0008767108221118472,0.0036624826723190692,0.0001422501995360027,0.007517613502516502,0.0004798416730133714,0.001109308460926575
83,0.13027208099975138,0.030000000000000047,0.0008433877127452218,0.0036624826723294845,0.00012324039759204663,0.006797771737580195,0.0004929349304008954,0.0010048008607920433
84,0.15652202450704777,0.02999999999990564,0.0008772212684702364,0.003662482672310026,0.0001425506971784238,0.007528641654545977,0.00047951280498289726,0.0011109138728410011
85,0.18805534320694542,0.0299999999999704,0.000920305448130241,0.003662482672308,0.00016783527921534813,0.00840578220217104,0.0004633422264495641,0.0012381476269222383
86,0.23782358201823434,0.02999999999986322,0.0010365578322176073,0.0036624826722928515,0.00022289577276036842,0.009784122285494771,0.00043374661335486765,0.0014374400908826598
87,0.18011821066546635,0.030000000000000044,0.0009085219360559823,0.0036624826723290448,0.0001611141719515992,0.008185115719489431,0.00046761330192063587,0.0012061496018782108
88,0.19337491017224073,0.029999999999824167,0.0009288805950591012,0.0036624826722930688,0.00017255004537066013,0.008553643556592126,0.0004601303369994437,0.0012595890969989536
89,0.1858778404235631,0.030000000000000047,0.0009169599083955384,0.003662482672329091,0.00016595618717586913,0.008345248278763425,0.00046456163747455773,0.0012293689239813305
90,0.15757425209277087,0.030000000000000034,0.000878541776127814,0.003662482672329268,0.00014334260540922763,0.007557880400145635,0.00047926064073110003,0.001115146798201789
91,0.22611161083400855,0.02999999999989053,0.001001052827917431,0.0036624826722933836,0.00020733997401985093,0.009460806228232234,0.0004415144119910339,0.0013908011000384204
92,0.18764303343947103,0.030000000000000006,0.0009196528075100286,0.0036624826723290786,0.00016747468705920941,0.008394311445689554,0.00046361826704067446,0.0012364815676413207
93,0.20091872764904428,0.029999999999849376,0.0009422020989835889,0.003662482672298296,0.0001795830975792704,0.008763095479976855,0.00045598922600602885,0.0012899276246186096
94,0.22594104177034197,0.030000000000000037,0.0010006050819055185,0.003662482672329071,0.00020713295096990884,0.009456062173627272,0.00044162393008657095,0.0013901096853064787
95,0.21505648776213798,0.029999999999906036,0.0009722071469919888,0.003662482672305731,0.00019423929548217483,0.009155008431018099,0.00044806197388139163,0.0013466276709568708
96,0.2096439359558738,0.02999999999984255,0.0009598504473059009,0.0036624826722962264,0.0001883717011074932,0.00900508785525185,0.00045106687526340426,0.001324952231084183
97,0.16814291726378727,0.03000000000000002,0.0008921993652197503,0.0036624826723291584,0.0001514855238444859,0.007852000392046239,0.0004738504853840313,0.0011578279180763386
98,0.21546711667927132,0.029999999999856575,0.0009731670824272643,0.0036624826722894245,0.00019469367127547955,0.009166394650763075,0.0004478043993540997,0.0013482769937737881
99,0.18260489712672093,0.030000000000000027,0.0009121048901631271,0.0036624826723291684,0.0001631848059330966,0.008254259898425513,0.0004663004705089419,0.0012161764429759131
100,0.25338223717736497,0.029999999999915587,0.0010881950124390313,0.003662482672304621,0.00024564265185013514,0.010212780656887016,0.00042314841605231026,0.001499182605637488
101,0.1805312102747864,0.029999999999863736,0.0009091356163771142,0.0036624826723035036,0.0001614620765645868,0.008196654168434259,0.000467134378452823,0.0012078344390375824
102,0.16221814750129565,0.03,0.0008844936831050511,0.00366248267232912,0.0001468874246556951,0.007687129307240741,0.00047689287364928055,0.001133904223305533
103,0.25919512077329626,0.02999999999985468,0.0011083239831093097,0.0036624826722959185,0.00025467157133018996,0.010372735235091544,0.0004188765053352476,0.0015222003370895935
