,Feed,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P
36,0.1939433738467095,0.5897039355649906,0.6632497213838207,1.2454517343008775,2.01173326700988,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
37,0.15369050870666026,0.5366203100306611,0.7170065709858718,1.1351280104967258,1.8129902626833132,9.999991077175904e-07,9.999991077175904e-07,9.999991077175904e-07
38,0.151268149475887,0.5334603342906764,0.6610148359856215,1.1285570779522383,1.8037431533900108,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
39,0.1965913711909083,0.5931511588917846,0.7222404026112953,1.252619456485602,2.0219118403970864,9.999986275175587e-07,9.999986275175587e-07,9.999986275175587e-07
40,0.14908082650426258,0.5305747723472801,0.6626316270188135,1.1225597034656072,1.792996519658454,1.0000000000274932e-06,1.0000000000274932e-06,1.0000000000274932e-06
41,0.16648825421555125,0.5535240509753184,0.6575557752394816,1.1702590403644828,1.8781257683057677,9.99997659177622e-07,9.99997659177622e-07,9.99997659177622e-07
42,0.22197223969379537,0.6265116135562624,0.7280623347877357,1.321944982608655,2.1450805004820213,9.99998972100314e-07,9.99998972100314e-07,9.99998972100314e-07
43,0.22598978125668598,0.6318064616677137,0.6828924152608861,1.3329448434496678,2.1666413784130287,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
44,0.2246684758862536,0.6298978142489889,0.7362502246679987,1.328988708951472,2.157251033558235,1.0000068073955769e-06,1.0000068073955769e-06,1.0000068073955769e-06
45,0.20762156490860123,0.6076649350071865,0.7214721774525445,1.2827811167134477,2.075641816923531,9.99999072564334e-07,9.99999072564334e-07,9.99999072564334e-07
46,0.20976917373042497,0.6105200354382143,0.6666305765137464,1.2887114537568451,2.088598704694248,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
47,0.19997152633872806,0.5975420815938773,0.6599752413063138,1.2617468803120047,2.040875288950106,1.0000068073955769e-06,1.0000068073955769e-06,1.0000068073955769e-06
48,0.13799297975499697,0.5159161878245987,0.7155081919376122,1.092095932679689,1.7364539050893708,9.999989002942558e-07,9.999989002942558e-07,9.999989002942558e-07
49,0.19337321119745124,0.588911992344356,0.731616488792825,1.24380951368014,2.005818885291855,9.999990233395684e-07,9.999990233395684e-07,9.999990233395684e-07
50,0.21489629890493736,0.6172498035229169,0.6788114270208248,1.3026967757703647,2.1129649416931233,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
51,0.16158998711104897,0.547068138976467,0.6682007039773816,1.1568400592446846,1.8537756203514983,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
52,0.1643156306121855,0.5506554904527026,0.6810950177144649,1.164296524645645,1.8664850589163478,1.000000000001653e-06,1.000000000001653e-06,1.000000000001653e-06
53,0.17801588786659958,0.568727536341798,0.6585051712630475,1.2018560769958406,1.9343334792260272,1.0000001869416607e-06,1.0000001869416607e-06,1.0000001869416607e-06
54,0.21553085219979068,0.6180795877325014,0.6969735218387051,1.3044206394154232,2.115242013389335,1.0000001662377407e-06,1.0000001662377407e-06,1.0000001662377407e-06
55,0.1917353221704648,0.5867619253282712,0.720686378497766,1.2393405776526132,1.9983413971548132,9.999990899410804e-07,9.999990899410804e-07,9.999990899410804e-07
56,0.20788048073052123,0.6080353361928865,0.670980167114599,1.2835481632254613,2.0792163140723323,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
57,0.21047408001435655,0.6114472908541376,0.6647989904602094,1.2906382995878327,2.092109267065106,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
58,0.28459233185625116,0.7084711215210141,0.7375965265204181,1.4922179921341345,2.447881560149231,1.0000000000704807e-06,1.0000000000704807e-06,1.0000000000704807e-06
59,0.1835448414854321,0.5759769303410479,0.7203082396139103,1.2169258405841237,1.9584564465415077,9.999991600202323e-07,9.999991600202323e-07,9.999991600202323e-07
60,0.17081324029223416,0.5592302331228226,0.6638783278942156,1.1821174982226794,1.8989612902608595,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
61,0.1645388235608105,0.5509613140420034,0.6580946088181487,1.1649312445492113,1.8686206864481758,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
62,0.16453134825224863,0.5509111586239008,0.7185200098411864,1.1648308667922112,1.8657973795700529,9.999978921726176e-07,9.999978921726176e-07,9.999978921726176e-07
63,0.13912675107435737,0.5174465311101366,0.6613988967335813,1.0952733915029766,1.7444779751718502,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
64,0.23211061502450453,0.6398063539228008,0.7310676944223308,1.3495690353519314,2.1941350841607865,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06
65,0.1525883227064237,0.5351980213351358,0.6677005770330294,1.1321689960278305,1.809880414783859,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
66,0.16646092854249606,0.5534934287483464,0.6621529966282214,1.1701941387628414,1.8778117748242498,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
67,0.23544005781680732,0.6442102411623883,0.6492642479375303,1.3587160252369634,2.213998812659643,1.0000000000177563e-06,1.0000000000177563e-06,1.0000000000177563e-06
68,0.1887883949145371,0.582913707232912,0.667982398351311,1.2313399663722016,1.9864047925370791,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
69,0.3190039646411943,0.7533934487990703,0.7423033833678637,1.5855255159333745,2.613867501567636,9.999986975185637e-07,9.999986975185637e-07,9.999986975185637e-07
70,0.16447741491540274,0.550876744669558,0.6652604819703934,1.1647557563797675,1.8679949786473427,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
71,0.20853698708110488,0.6088660621092694,0.7236167365226355,1.285277450258061,2.0799919822798425,9.999988175979286e-07,9.999988175979286e-07,9.999988175979286e-07
72,0.15055425252293475,0.5325172554844118,0.6641264890444767,1.1265970782316561,1.8001181005281333,1.0000000000145198e-06,1.0000000000145198e-06,1.0000000000145198e-06
73,0.24783165545388464,0.6604401714752471,0.6420369505207736,1.3924357971853791,2.2743588510887696,1.000000000001653e-06,1.000000000001653e-06,1.000000000001653e-06
74,0.25494222562700863,0.669702438070496,0.727518935029618,1.4116817464712519,2.304893933437291,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
75,0.20434507499379037,0.603388452001529,0.6679099935547927,1.2738911867940463,2.0621583499140548,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
76,0.20093611553281235,0.5988837943864771,0.7006919981083819,1.2645316827028592,2.04406149001155,9.999991030588925e-07,9.999991030588925e-07,9.999991030588925e-07
77,0.20486272741578065,0.6040371732457965,0.7313989766453651,1.2752418134066832,2.061786921439963,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
78,0.22787542948839126,0.6342500220983186,0.7404793922340718,1.3380244358660685,2.173167826693262,1.000000000001653e-06,1.000000000001653e-06,1.000000000001653e-06
79,0.24019624636999554,0.6504046398726572,0.6929401222954198,1.3715893105762123,2.2350091622465262,9.999979265938426e-07,9.999979265938426e-07,9.999979265938426e-07
80,0.18662472550684642,0.5800340981259533,0.7178493254487257,1.2253579649547643,1.9735741927878503,9.99999130306658e-07,9.99999130306658e-07,9.99999130306658e-07
81,0.15313218248068977,0.5359179027566982,0.6624528737098831,1.1336650095440899,1.8127729203649108,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
82,0.1561266224405299,0.5398288893827929,0.7307223164159267,1.1417968948371953,1.8242626412373517,9.999995452176816e-07,9.999995452176816e-07,9.999995452176816e-07
83,0.13027208099975138,0.5057732089539025,0.6485322613866027,1.0710104327608108,1.7018499053328224,1.0000000000070236e-06,1.0000000000070236e-06,1.0000000000070236e-06
84,0.15652202450704777,0.5403512520198033,0.7227285372940762,1.142882716655864,1.8265442343148084,9.99999126703203e-07,9.99999126703203e-07,9.99999126703203e-07
85,0.18805534320694542,0.581937206863169,0.6877721279542112,1.2293114977281427,1.981928120968783,9.999997306806965e-07,9.999997306806965e-07,9.999997306806965e-07
86,0.23782358201823434,0.6472858512961333,0.7304360464984863,1.3651101780121713,2.221834012225554,9.999987396675502e-07,9.999987396675502e-07,9.999987396675502e-07
87,0.18011821066546635,0.5714906072147725,0.6704243180803876,1.2075992336600292,1.9440358356929077,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
88,0.19337491017224073,0.5889282953395267,0.6982142765397894,1.2438425201139047,2.0073373132169454,9.999983730373235e-07,9.999983730373235e-07,9.999983730373235e-07
89,0.1858778404235631,0.5790802063112992,0.6677548854504786,1.2233727890644643,1.9722318352737684,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
90,0.15757425209277087,0.5417784334005504,0.6572339338900288,1.1458454485061025,1.8346835580521852,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
91,0.22611161083400855,0.6319439311075052,0.7290101571796106,1.3332324906914033,2.16513677759483,9.99998996501718e-07,9.99998996501718e-07,9.99998996501718e-07
92,0.18764303343947103,0.581404411177711,0.6695271934984829,1.22820326431007,1.980753377430645,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
93,0.20091872764904428,0.5988453227481754,0.7210299590528586,1.2644531599007636,2.043031350723028,9.999986053773755e-07,9.999986053773755e-07,9.999986053773755e-07
94,0.22594104177034197,0.6317456378749224,0.6767648523250082,1.3328182208445427,2.166683837524312,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
95,0.21505648776213798,0.6174355703800788,0.7188919068941149,1.3030850386655066,2.111902579453937,9.999991329415864e-07,9.999991329415864e-07,9.999991329415864e-07
96,0.2096439359558738,0.6103182453680476,0.7231679971955746,1.2882955487375884,2.085384179990034,9.999985441713609e-07,9.999985441713609e-07,9.999985441713609e-07
97,0.16814291726378727,0.555708805466044,0.6662977657973662,1.1747987181634385,1.8858272218311893,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
98,0.21546711667927132,0.6179718799813885,0.7244935593978056,1.3041998749108266,2.113642212706941,9.999986798794033e-07,9.999986798794033e-07,9.999986798794033e-07
99,0.18260489712672093,0.5747681895174587,0.668248725126311,1.2144110608316367,1.9562569907208271,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
100,0.25338223717736497,0.6676564922950272,0.7288975108616782,1.4074319245078415,2.297264591641295,9.999992228915785e-07,9.999992228915785e-07,9.999992228915785e-07
101,0.1805312102747864,0.5720152911619468,0.6971958442941746,1.2086917218961453,1.9448083705064119,9.99998738314408e-07,9.99998738314408e-07,9.99998738314408e-07
