,filtered_x,filtered_y,bvs_est,test_xs,obj,resin,species,curve_id,fs.unit.bv_50,fs.unit.mass_transfer_coeff,fs.unit.freundlich_n
75,,,305593.284742716,0.5980000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
76,,,325827.5041291492,0.647,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
77,,,348120.6552161441,0.6960000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
78,,,373333.5395530084,0.745,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
79,,,402853.7449410267,0.794,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
80,,,439185.03019030375,0.8430000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
81,,,487668.42245644494,0.892,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
82,,,563715.3504496925,0.9410000000000001,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
83,,,780383.4942217369,0.99,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
84,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
85,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
86,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
87,,,,,98315500.17674947,evoqua_psr2+,PFOA,4,269126.6378525455,0.3603237677263862,1.05
88,0.005,31645.56962,115899.39032287861,0.01,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
89,0.005497507,143459.9156,152415.97969121236,0.059000000000000004,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
90,0.00569925,151476.7932,169951.76951081975,0.108,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
91,0.18751249,176371.308,183222.62295033527,0.15700000000000003,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
92,0.256083996,201265.8228,194573.13461144024,0.20600000000000002,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
93,0.339319059,208860.7595,204892.48360556312,0.255,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
94,0.35494886,229957.8059,214637.3324770699,0.30400000000000005,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
95,0.427305709,255274.2616,224091.0869068327,0.35300000000000004,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
96,,,233458.1533321667,0.402,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
97,,,242907.31498302417,0.451,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
98,,,252596.6216404486,0.5,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
99,,,262691.9528624706,0.549,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
100,,,273385.6500209019,0.5980000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
101,,,284920.8416802533,0.647,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
102,,,297629.7960297245,0.6960000000000001,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
103,,,312003.24170392664,0.745,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
104,,,328832.2194109947,0.794,1178140314.5119305,ect2_sorbix_lc4,PFBS,5,252596.62164187554,0.5932331364981511,1.05
